stop_code,stop_name,address,routes,url
QCCT263,"Trạm xe buýt [QCCT263] Bến đò Bình Mỹ, Huyện Củ Chi","Đối diện công ty Thành Lực Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3235-ben-do-binh-my
QCCT266,"Trạm xe buýt [QCCT266] Khách sạn Minh Tú, Huyện Củ Chi","337 Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3236-khach-san-minh-tu
QCCT265,"Trạm xe buýt [QCCT265] Trường tiểu học Bình Hòa, Huyện Củ Chi","Cafe Cây Mận Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3237-truong-tieu-hoc-binh-hoa
QCCT268,"Trạm xe buýt [QCCT268] Trường Bình Mỹ, Huyện Củ Chi","Đối diện cột điện H14A Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3238-truong-binh-my
QCCT267,"Trạm xe buýt [QCCT267] Cây Điệp, Huyện Củ Chi","Đối diện 15 Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3239-cay-diep
QTD 168,"Trạm xe buýt [QTD 168] Cầu vượt Linh Xuân, Quận Thủ Đức","Kho 856 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 19, 33",https://xebuyt.net/324-cau-vuot-linh-xuan
QCCT271,"Trạm xe buýt [QCCT271] Truốc Bua, Huyện Củ Chi","Cửa hàng sữa Thúy Nga Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3240-truoc-bua
QCCT269,"Trạm xe buýt [QCCT269] Am Dưỡng Bình Mỹ, Huyện Củ Chi","Đối diện 271 Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3241-am-duong-binh-my
QCCT272,"Trạm xe buýt [QCCT272] Bình Mỹ, Huyện Củ Chi","Internet Thanh Phong Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3242-binh-my
QCCT270,"Trạm xe buýt [QCCT270] Thi Đua, Huyện Củ Chi","Đối diện cơ khí Đức Tài Tỉnh lộ 9, Huyện Củ Chi, Tp.Hồ Chí Minh",58,https://xebuyt.net/3243-thi-dua
HHM 129,"Trạm xe buýt [HHM 129] Trường Mầm non, Huyện Hóc Môn","286 Đặng Thúc Vịnh, Huyện Hóc Môn, Tp.Hồ Chí Minh",78,https://xebuyt.net/3244-truong-mam-non
HHM 128,"Trạm xe buýt [HHM 128] Hóc Môn, Huyện Hóc Môn","270 Đặng Thúc Vịnh, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3245-hoc-mon
HHM 217,"Trạm xe buýt [HHM 217] Ngã ba đồn, Huyện Hóc Môn","45 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3246-nga-ba-don
QHMT019,"Trạm xe buýt [QHMT019] Trịnh Thị Dối, Huyện Hóc Môn","89 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3247-trinh-thi-doi
HHM 224,"Trạm xe buýt [HHM 224] Phà Công Nông, Huyện Hóc Môn","83 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3248-pha-cong-nong
HHM 218,"Trạm xe buýt [HHM 218] Phà An Sương, Huyện Hóc Môn","381 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3249-pha-an-suong
QTD 166,"Trạm xe buýt [QTD 166] Giày da Thái Bình, Quận Thủ Đức","20/8 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","05, 19, 33",https://xebuyt.net/325-giay-da-thai-binh
HHM 221,"Trạm xe buýt [HHM 221] xã Nhị Bình, Huyện Hóc Môn","29/1 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3250-xa-nhi-binh
HHM 220,"Trạm xe buýt [HHM 220] Đặng Công Bỉnh, Huyện Hóc Môn","311 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3251-dang-cong-binh
HHM 223,"Trạm xe buýt [HHM 223] Bùi Công Trừng, Huyện Hóc Môn","14/2 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3252-bui-cong-trung
HHM 222,"Trạm xe buýt [HHM 222] Trường Võ Văn Thặng, Huyện Hóc Môn","143 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3253-truong-vo-van-thang
HHM 225,"Trạm xe buýt [HHM 225] Bùi Công Trừng, Huyện Hóc Môn","Đối diện 39/1F Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3254-bui-cong-trung
Q12T203,"Trạm xe buýt [Q12T203] Chợ Đường, Quận 12","94/4C Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh",58,https://xebuyt.net/3255-cho-duong
HHM 216,"Trạm xe buýt [HHM 216] Hương lộ 80, Huyện Hóc Môn","89 Bùi Công Trừng, Huyện Hóc Môn, Tp.Hồ Chí Minh",58,https://xebuyt.net/3256-huong-lo-80
Q12 046,"Trạm xe buýt [Q12 046] Cầu Phú Long, Quận 12","793 (đối diện 487A) Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh",58,https://xebuyt.net/3257-cau-phu-long
Q12 043,"Trạm xe buýt [Q12 043] Cầu Phú Cường, Quận 12","856 Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh",58,https://xebuyt.net/3259-cau-phu-cuong
Q12 048,"Trạm xe buýt [Q12 048] Trường Nguyễn Văn Thệ, Quận 12","Trường Nguyễn Văn Thệ Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh",58,https://xebuyt.net/3260-truong-nguyen-van-the
Q12 047,"Trạm xe buýt [Q12 047] Trại cá sấu, Quận 12","22/3 Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh",58,https://xebuyt.net/3261-trai-ca-sau
Q12 049,"Trạm xe buýt [Q12 049] Trường Điện Lực 2, Quận 12","65/4 Hà Huy Giáp, Quận 12, Tp.Hồ Chí Minh","03, 58",https://xebuyt.net/3262-truong-dien-luc-2
